seed,layer,obs_cc,obs_tr,null_cc_mean,null_tr_mean,null_cc_std,null_tr_std,cc_delta,tr_delta,cc_z,tr_z,cc_p_empirical,tr_p_empirical
seed42,0,0.709555,0.199783,0.497775,0.463241,0.008908,0.008864,0.21178,-0.263458,23.7745,-29.7216,0.0625,1.0
seed42,1,0.707443,0.199666,0.44841,0.423036,0.007707,0.007717,0.259033,-0.223369,33.6102,-28.9446,0.0625,1.0
seed42,2,0.71044,0.199451,0.460557,0.435332,0.010249,0.009219,0.249883,-0.235881,24.3801,-25.5859,0.0625,1.0
seed42,3,0.710355,0.199532,0.474377,0.444055,0.006617,0.006458,0.235978,-0.244524,35.6646,-37.8633,0.0625,1.0
seed42,4,0.712319,0.199897,0.497323,0.466349,0.008627,0.006991,0.214997,-0.266451,24.9204,-38.1148,0.0625,1.0
seed42,5,0.722519,0.202018,0.491449,0.461375,0.007641,0.004977,0.23107,-0.259357,30.2415,-52.1123,0.0625,1.0
seed42,6,0.721986,0.201527,0.496375,0.472535,0.006053,0.004459,0.225611,-0.271008,37.274,-60.7748,0.0625,1.0
seed42,7,0.725841,0.201648,0.439931,0.419813,0.009712,0.009363,0.28591,-0.218165,29.4398,-23.3001,0.0625,1.0
seed42,8,0.728964,0.200979,0.551743,0.532291,0.008769,0.00914,0.177221,-0.331313,20.2101,-36.2471,0.0625,1.0
seed42,9,0.731185,0.201348,0.617814,0.598022,0.0122,0.00978,0.11337,-0.396674,9.2924,-40.5588,0.0625,1.0
seed42,10,0.738655,0.202702,0.446938,0.429482,0.009746,0.008992,0.291717,-0.226779,29.9319,-25.2204,0.0625,1.0
seed42,11,0.738984,0.202318,0.474526,0.456677,0.007446,0.007703,0.264458,-0.254359,35.5147,-33.0196,0.0625,1.0
seed43,0,0.757688,0.16374,0.51584,0.475014,0.010326,0.00902,0.241847,-0.311274,23.4202,-34.5087,0.0625,1.0
seed43,1,0.749116,0.16516,0.466308,0.433615,0.010646,0.007486,0.282808,-0.268455,26.5656,-35.8594,0.0625,1.0
seed43,2,0.758475,0.164863,0.475212,0.439998,0.008552,0.005983,0.283263,-0.275135,33.1229,-45.9832,0.0625,1.0
seed43,3,0.769637,0.167152,0.483597,0.441065,0.009199,0.006582,0.286041,-0.273913,31.0958,-41.6157,0.0625,1.0
seed43,4,0.767315,0.172078,0.506696,0.465436,0.006872,0.005373,0.26062,-0.293358,37.9226,-54.5947,0.0625,1.0
seed43,5,0.768667,0.171493,0.496068,0.456672,0.005738,0.005045,0.272599,-0.285179,47.5096,-56.5288,0.0625,1.0
seed43,6,0.774841,0.165182,0.506152,0.472967,0.009451,0.007403,0.268689,-0.307785,28.4305,-41.5741,0.0625,1.0
seed43,7,0.773675,0.171626,0.462057,0.440946,0.010931,0.009576,0.311618,-0.26932,28.5081,-28.125,0.0625,1.0
seed43,8,0.773452,0.160786,0.546492,0.522665,0.009869,0.010294,0.226959,-0.361879,22.998,-35.1544,0.0625,1.0
seed43,9,0.760669,0.176236,0.596324,0.567478,0.011506,0.011102,0.164345,-0.391242,14.2833,-35.2405,0.0625,1.0
seed43,10,0.778409,0.170706,0.469298,0.449612,0.010089,0.009622,0.309111,-0.278906,30.6395,-28.9859,0.0625,1.0
seed43,11,0.772574,0.180421,0.490736,0.46879,0.013377,0.012658,0.281837,-0.288369,21.0695,-22.7816,0.0625,1.0
seed44,0,0.736291,0.174923,0.510639,0.468689,0.010003,0.008609,0.225652,-0.293766,22.5594,-34.1237,0.0625,1.0
seed44,1,0.763474,0.157335,0.459627,0.427889,0.008143,0.006958,0.303848,-0.270554,37.3149,-38.8849,0.0625,1.0
seed44,2,0.731267,0.173852,0.471972,0.436839,0.008553,0.008982,0.259295,-0.262987,30.3149,-29.2807,0.0625,1.0
seed44,3,0.763374,0.169281,0.477884,0.438543,0.011153,0.008369,0.28549,-0.269262,25.5982,-32.1719,0.0625,1.0
seed44,4,0.766652,0.163378,0.501314,0.461895,0.009065,0.007385,0.265338,-0.298517,29.2703,-40.4199,0.0625,1.0
seed44,5,0.778918,0.162733,0.492139,0.452922,0.011476,0.010476,0.286779,-0.290189,24.9897,-27.7016,0.0625,1.0
seed44,6,0.749901,0.181653,0.510142,0.478034,0.007071,0.00965,0.239759,-0.296381,33.9057,-30.7134,0.0625,1.0
seed44,7,0.767537,0.176583,0.460128,0.439758,0.008604,0.008042,0.307409,-0.263175,35.7294,-32.7258,0.0625,1.0
seed44,8,0.78444,0.161862,0.548585,0.523947,0.011053,0.009476,0.235855,-0.362085,21.3377,-38.2115,0.0625,1.0
seed44,9,0.788601,0.170292,0.595723,0.567471,0.012544,0.010371,0.192878,-0.397179,15.3758,-38.2969,0.0625,1.0
seed44,10,0.778096,0.167547,0.462377,0.445451,0.006152,0.005745,0.315719,-0.277904,51.3176,-48.3749,0.0625,1.0
seed44,11,0.781686,0.162446,0.483497,0.462691,0.010923,0.011881,0.29819,-0.300245,27.3001,-25.2713,0.0625,1.0
