layer,n_seeds,mean_cc_delta,mean_tr_delta,mean_cc_z,mean_tr_z,n_seeds_cc_sig,n_seeds_tr_sig
0,3,0.226426,-0.289499,23.2514,-32.7847,0,0
1,3,0.281896,-0.254126,32.4969,-34.563,0,0
2,3,0.264147,-0.258001,29.2726,-33.6166,0,0
3,3,0.26917,-0.262566,30.7862,-37.217,0,0
4,3,0.246985,-0.286109,30.7044,-44.3765,0,0
5,3,0.263483,-0.278242,34.2469,-45.4476,0,0
6,3,0.244686,-0.291725,33.2034,-44.3541,0,0
7,3,0.301646,-0.25022,31.2258,-28.0503,0,0
8,3,0.213345,-0.351759,21.5153,-36.5377,0,0
9,3,0.156864,-0.395032,12.9838,-38.0321,0,0
10,3,0.305516,-0.261196,37.2963,-34.1937,0,0
11,3,0.281495,-0.280991,27.9614,-27.0242,0,0
