layer,sv1_var,sv1_sv2_ratio,cumvar5,eff_rank,top_go_p,top_go_term,top_go_or,s1,s2
0,0.5720776385392937,4.065781116485596,0.6564211943352432,19.542911529541016,0.004027757430028807,GO:0005615,3.725806451612903,597.3792724609375,146.9285430908203
1,0.654338030740813,4.950133323669434,0.7218249598662371,11.997660636901855,0.0011911217194029767,GO:0005615,4.362068965517241,614.1300659179688,124.06333923339844
2,0.6935353552529295,5.227331161499023,0.757868942919541,9.190616607666016,0.002650955985209643,GO:0005615,3.789272030651341,630.9546508789062,120.70301818847656
3,0.7053952886529665,4.937591075897217,0.7765114635471332,8.15331745147705,0.00011939126931867151,GO:0005739,inf,646.4896850585938,130.9322052001953
4,0.7395053428680822,4.819053649902344,0.813249894952492,6.2830729484558105,0.000724110423753449,GO:0005615,5.193548387096774,665.5468139648438,138.10736083984375
5,0.75215773885877,4.76908540725708,0.828236830864646,5.650478363037109,0.006297717150355813,GO:0007186,inf,668.7817993164062,140.2327117919922
6,0.7614088446151811,4.659101486206055,0.8401913948306486,5.17959451675415,0.004027757430028807,GO:0005576,3.725806451612903,683.0880126953125,146.61367797851562
7,0.7725245907185114,4.4959516525268555,0.8565851056784494,4.633397102355957,0.0013390764559390576,GO:0005788,inf,699.4295043945312,155.56874084472656
8,0.7863253561144145,4.253893852233887,0.8759588279002829,4.059924602508545,0.00292162135841249,GO:0005788,inf,725.0850219726562,170.4520721435547
9,0.8388653484813705,5.010969638824463,0.9113722077559596,2.9431285858154297,0.001799387393676049,GO:0005615,4.354838709677419,763.8330078125,152.4321746826172
10,0.9037382667514988,6.622858047485352,0.9511320606325961,1.9679558277130127,0.00012413704198504196,GO:0005615,6.8933333333333335,814.6209716796875,123.00142669677734
11,0.9321852367015842,7.704552173614502,0.9684265337726112,1.630598783493042,0.0002574644601557992,GO:0005615,6.367741935483871,739.0821533203125,95.92798614501953
