term,a,b,c,d,odds_ratio,p_value
GO:0005829,23,11,29,41,2.956112852664577,0.0103919613471178
GO:0045087,5,0,47,52,inf,0.028261078535037967
GO:0050853,5,0,47,52,inf,0.028261078535037967
GO:0005739,5,0,47,52,inf,0.028261078535037967
GO:0032743,4,0,48,52,inf,0.05887724694799576
GO:0032991,7,2,45,50,3.888888888888889,0.08014981259911597
GO:0005654,16,9,36,43,2.123456790123457,0.08392944939203639
GO:0006954,11,5,41,47,2.521951219512195,0.08647196361065643
GO:0016020,8,3,44,49,2.9696969696969697,0.1003950454836137
GO:0043123,5,1,47,51,5.425531914893617,0.10248209286948111
GO:0009897,13,7,39,45,2.142857142857143,0.1064499542949474
GO:0048471,3,0,49,52,inf,0.12135922330097089
GO:0018105,3,0,49,52,inf,0.12135922330097089
GO:0006974,3,0,49,52,inf,0.12135922330097089
GO:0098609,3,0,49,52,inf,0.12135922330097089
GO:0030182,3,0,49,52,inf,0.12135922330097089
GO:0002062,3,0,49,52,inf,0.12135922330097089
GO:0032753,3,0,49,52,inf,0.12135922330097089
GO:0016607,3,0,49,52,inf,0.12135922330097089
GO:0003713,3,0,49,52,inf,0.12135922330097089
GO:0006357,16,10,36,42,1.8666666666666667,0.12866794072858456
GO:0006915,10,5,42,47,2.238095238095238,0.13198247527427082
GO:0005524,6,2,46,50,3.260869565217391,0.13473614401776476
GO:0000978,15,10,37,42,1.7027027027027026,0.17945217413763925
GO:0000981,15,10,37,42,1.7027027027027026,0.17945217413763925
GO:0045121,4,1,48,51,4.25,0.18134192059982693
GO:0001227,4,1,48,51,4.25,0.18134192059982693
GO:0004888,4,1,48,51,4.25,0.18134192059982693
GO:0005178,4,1,48,51,4.25,0.18134192059982693
GO:0016021,9,5,43,47,1.9674418604651163,0.19477992547677755
GO:0005634,24,19,28,33,1.4887218045112782,0.21296628454655436
GO:0043231,5,2,47,50,2.6595744680851063,0.2183577581059077
GO:0003677,6,3,46,49,2.130434782608696,0.24390880685506236
GO:0047485,2,0,50,52,inf,0.24757281553398056
GO:0042742,2,0,50,52,inf,0.24757281553398056
GO:0007283,2,0,50,52,inf,0.24757281553398056
GO:0051402,2,0,50,52,inf,0.24757281553398056
GO:0005764,2,0,50,52,inf,0.24757281553398056
GO:0005741,2,0,50,52,inf,0.24757281553398056
GO:0007420,2,0,50,52,inf,0.24757281553398056
GO:0042100,2,0,50,52,inf,0.24757281553398056
GO:0030097,2,0,50,52,inf,0.24757281553398056
GO:0006952,2,0,50,52,inf,0.24757281553398056
GO:0016604,2,0,50,52,inf,0.24757281553398056
GO:0007155,7,4,45,48,1.8666666666666667,0.26277868424468936
GO:0071222,7,4,45,48,1.8666666666666667,0.26277868424468936
GO:0046872,9,6,43,46,1.6046511627906976,0.2889761007805376
GO:0006955,9,6,43,46,1.6046511627906976,0.2889761007805376
GO:0006919,3,1,49,51,3.122448979591837,0.3088051523598961
GO:0004712,3,1,49,51,3.122448979591837,0.3088051523598961
