seed,layer,sv24_mag,sv57_mag,sv24_null_mean,sv57_null_mean,sv24_p,sv57_p,is_crossover
main,0,2.0349233,0.41615722,2.184903,0.83896667,0.948,1.0,False
main,1,1.9045987,0.44399244,2.0721045,0.74057215,0.976,1.0,False
main,2,1.9891938,0.54486483,2.234289,0.77413136,0.998,1.0,False
main,3,1.8147132,0.8077282,2.075596,1.0418085,1.0,1.0,False
main,4,1.6495392,0.8580738,1.8656332,1.0944679,0.992,1.0,False
main,5,1.5158907,0.9171361,1.7678653,1.0079508,1.0,0.926,False
main,6,1.4774858,0.9598787,1.7307322,0.9431355,0.998,0.38,False
main,7,1.566118,0.9679253,1.8019533,0.962097,0.996,0.482,False
main,8,1.3020153,1.2215345,1.6024075,1.0675486,1.0,0.002,False
main,9,0.9828224,1.2946571,1.101425,1.2716695,0.99,0.364,True
main,10,0.9370256,0.89711666,1.07172,0.9078431,0.994,0.594,False
main,11,0.63476855,0.6131375,0.8043196,0.5900332,1.0,0.248,False
seed43,0,2.099403,0.6371564,2.2975366,0.9952411,0.966,1.0,False
seed43,1,1.8251382,0.583311,1.9702247,0.8828109,0.962,1.0,False
seed43,2,1.9079704,0.7129293,2.1453462,1.0135316,0.998,1.0,False
seed43,3,1.7551847,0.94274867,1.9900434,1.325562,0.99,1.0,False
seed43,4,1.541077,0.7967953,1.7147175,1.1059761,0.976,1.0,False
seed43,5,1.4528263,0.879444,1.6582681,1.1111324,1.0,0.998,False
seed43,6,1.3701473,0.9732011,1.531926,1.099402,0.986,0.982,False
seed43,7,1.3386174,1.0852917,1.4954512,1.2186981,0.972,0.986,False
seed43,8,1.4162117,1.0719401,1.5950178,1.0842787,0.992,0.576,False
seed43,9,1.3822545,1.0751352,1.5396111,1.113417,0.984,0.75,False
seed43,10,1.1285421,0.7686332,1.3772573,0.8183486,1.0,0.904,False
seed43,11,0.6622521,0.6235782,0.9014526,0.6215659,1.0,0.498,False
seed44,0,1.9455348,0.65543514,2.0669484,1.0040046,0.9,1.0,False
seed44,1,1.7784684,0.5274243,1.9026494,0.76651406,0.922,1.0,False
seed44,2,1.8942722,0.6448662,2.0926743,0.90702826,0.992,1.0,False
seed44,3,1.8106643,0.69164175,2.0276573,0.9742309,0.998,1.0,False
seed44,4,1.5137657,0.9126724,1.6847678,1.1991202,0.988,1.0,False
seed44,5,1.405372,0.94915354,1.6254333,1.0684805,0.998,0.97,False
seed44,6,1.3663974,0.9528218,1.5703312,1.0122685,0.996,0.818,False
seed44,7,1.3959115,1.0833768,1.6022222,1.1643398,0.998,0.892,False
seed44,8,1.5372349,0.89240855,1.680754,0.87151635,0.974,0.334,False
seed44,9,1.1525633,1.2262275,1.1613454,1.2989101,0.546,0.902,True
seed44,10,1.0788164,0.83626527,1.0997853,0.90713364,0.636,0.98,False
seed44,11,0.72828805,0.46068496,0.8291039,0.5059003,0.984,0.942,False
