layer,subspace,lap_k,mean_principal_angle_deg,min_principal_angle_deg,alignment_score
0,sv57,3,84.87864150952265,80.63030143911122,5.121358490477348
0,sv24,3,85.297668771072,80.31589541583641,4.702331228928003
0,sv57,6,83.60529811307993,78.14602377191378,6.394701886920075
0,sv24,6,84.95304805489975,79.97336045531766,5.046951945100247
0,sv57,9,82.56886928829086,77.59329422657336,7.4311307117091445
0,sv24,9,84.47712148407396,79.88876483821184,5.522878515926038
1,sv57,3,85.47448093930336,82.29197325803135,4.525519060696638
1,sv24,3,85.85536354856193,81.25932355154755,4.144636451438075
1,sv57,6,84.04468590837375,80.33153930082577,5.955314091626249
1,sv24,6,85.23633134427388,80.33947510003902,4.763668655726121
1,sv57,9,82.82979146856957,79.27589277690208,7.170208531430433
1,sv24,9,84.70518521591795,80.22013684647858,5.29481478408205
2,sv57,3,86.24056255714903,84.71554922074188,3.7594374428509667
2,sv24,3,86.3272731059764,82.51131512358462,3.6727268940235973
2,sv57,6,85.08988915098311,82.37021170133173,4.910110849016888
2,sv24,6,85.0187521677549,80.68044845924713,4.981247832245103
2,sv57,9,83.55446027197465,81.00511028462488,6.445539728025352
2,sv24,9,84.4373643071013,80.51047790327658,5.562635692898695
3,sv57,3,84.89511526850278,79.96030366027067,5.104884731497222
3,sv24,3,86.24902628626226,83.23502560898713,3.7509737137377357
3,sv57,6,83.29462946229235,79.7188245322973,6.705370537707651
3,sv24,6,85.2221763784173,82.22970538541449,4.777823621582698
3,sv57,9,82.65428252862445,79.01029501029633,7.345717471375551
3,sv24,9,84.57730233306341,81.98405382422266,5.422697666936585
4,sv57,3,86.25591403311864,81.91693945327994,3.7440859668813573
4,sv24,3,86.54534207028043,83.1173080296885,3.4546579297195734
4,sv57,6,84.27047597226486,80.93333967082079,5.729524027735138
4,sv24,6,85.33230217656873,81.50093147809773,4.6676978234312685
4,sv57,9,83.58773375343456,79.89406568171331,6.412266246565437
4,sv24,9,84.88021115570456,81.23503239359717,5.119788844295442
5,sv57,3,86.72624627072015,83.03106132690858,3.2737537292798464
5,sv24,3,86.53249756109018,82.97333023856169,3.4675024389098184
5,sv57,6,84.49459362882426,82.01794982534382,5.505406371175738
5,sv24,6,85.49098055446427,81.18100087811493,4.509019445535728
5,sv57,9,84.073047319586,81.46818975833203,5.926952680414004
5,sv24,9,84.95221333252653,80.880873399982,5.047786667473474
6,sv57,3,86.58133210312882,83.01889238251424,3.4186678968711846
6,sv24,3,86.3819800140554,82.02951127981943,3.618019985944599
6,sv57,6,84.85553852706322,82.46240995887379,5.144461472936783
6,sv24,6,85.28817536502417,80.58481552798077,4.711824634975827
6,sv57,9,84.38373955817252,81.55878685377415,5.616260441827478
6,sv24,9,84.75599564499221,80.33101086860317,5.244004355007789
7,sv57,3,87.03572137389271,83.48385378450868,2.964278626107287
7,sv24,3,86.09647100845218,81.35828315568074,3.903528991547816
7,sv57,6,85.46562631603108,83.11913315076623,4.534373683968923
7,sv24,6,85.04039594524555,80.25861758993571,4.95960405475445
7,sv57,9,85.10931905069368,82.30150325935051,4.890680949306315
7,sv24,9,84.59484564491486,80.09280946996147,5.405154355085145
8,sv57,3,86.19034598188779,81.70888537900038,3.8096540181122123
8,sv24,3,87.26158485501891,84.2974912021895,2.73841514498109
8,sv57,6,84.90721289350898,80.68829649355453,5.092787106491016
8,sv24,6,86.31571473283554,83.74901804111511,3.684285267164455
8,sv57,9,84.61491588115092,80.42379228625617,5.385084118849079
8,sv24,9,85.85180809587173,83.51594996413536,4.148191904128268
9,sv57,3,86.16562535019712,81.41710777152068,3.834374649802882
9,sv24,3,88.11186728364753,87.07737902282335,1.888132716352473
9,sv57,6,84.98652536822738,80.00185487774927,5.013474631772624
9,sv24,6,87.75211666953807,86.65492945297314,2.2478833304619315
9,sv57,9,84.65101920667608,79.8751919793387,5.348980793323918
9,sv24,9,87.05670341731667,86.00694281281504,2.943296582683331
10,sv57,3,86.3780321926797,81.95256860834539,3.6219678073203028
10,sv24,3,87.46804786798471,84.56502815939439,2.5319521320152916
10,sv57,6,85.24340437831181,80.49167299180112,4.7565956216881915
10,sv24,6,86.73615535318122,84.383746863453,3.2638446468187823
10,sv57,9,84.92946958039448,80.3885763552818,5.070530419605518
10,sv24,9,85.83685681164172,83.84510737525837,4.163143188358276
11,sv57,3,85.93830926748325,81.12693556412727,4.061690732516752
11,sv24,3,85.32227746385827,79.5452494946792,4.677722536141729
11,sv57,6,85.08436563053972,79.7525264084554,4.915634369460278
11,sv24,6,84.5500647787549,79.2412239829021,5.449935221245099
11,sv57,9,84.89440336659634,79.61480836565138,5.105596633403664
11,sv24,9,83.6023458058553,79.0296707030461,6.397654194144707
